OrderId,vehicleCode,modelId.name,SalesModel,vehicleColor.code,vehicleColor.name,description,,modelId.wrntyLimitationKm,etaDealer
502377,1004316,OMODA9 PHEV Premium,T6480J1BXLX0018,Khaki white,Khaki white,1004316 - OMODA9 PHEV Premium Khaki White | Black 2025,,,2026-09-20T00:00:00.000Z
502387,1003408,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003408 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-07T00:00:00.000Z
502394,1003390,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003390 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-08T00:00:00.000Z
502395,1003393,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003393 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-07T00:00:00.000Z
502407,1003631,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003631 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-08T00:00:00.000Z
502412,1003615,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003615 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-07T00:00:00.000Z
502413,1000778,JAECOO7 PHEV Comfort (T71604NXXMH0017),T71604NBWMH0017,Khaki white | Black,Khaki white | Black,1000778 - JAECOO7 PHEV Comfort Khaki white | Black 2025,,,2026-07-16T00:00:00.000Z
502414,1003601,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003601 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-07T00:00:00.000Z
502415,1000786,JAECOO7 PHEV Comfort (T71604NXXMH0017),T71604NBWMH0017,Khaki white | Black,Khaki white | Black,1000786 - JAECOO7 PHEV Comfort Khaki white | Black 2025,,,2026-03-08T00:00:00.000Z
502416,1003594,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003594 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-13T00:00:00.000Z
502421,1003566,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003566 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-10-08T00:00:00.000Z
502422,1004967,OMODA5 HEV Premium (T71506J##MH0002),T71506JX4MH0002,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004967 - OMODA5 HEV Premium Carbon crystal black & Aviation silver | Black 2025,,,2026-08-17T00:00:00.000Z
502426,1003380,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003380 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-13T00:00:00.000Z
502429,1002890,OMODA5 HEV Comfort,T71506JGVMH0011,Phantom gray | Black,Phantom gray | Black,1002890 - OMODA5 HEV Comfort Phantom gray | Black,,,2026-08-17T00:00:00.000Z
502431,1003528,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003528 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-09-28T00:00:00.000Z
502433,1003523,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003523 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-09-29T00:00:00.000Z
502439,1004023,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1004023 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-09-21T00:00:00.000Z
502446,1003247,JAECOO7 PHEV Premium,T71604NZKMH0026,Carbon crystal black & Olive gray | Black,Carbon crystal black & Olive gray | Black,1003247 - JAECOO7 PHEV Premium Carbon crystal black & Olive gray | Black,,,2026-08-07T00:00:00.000Z
502456,1002914,OMODA5 HEV Comfort,T71506JCLMH0011,Carbon crystal black | Black,Carbon crystal black | Black,1002914 - OMODA5 HEV Comfort Carbon Crystal Black | Black,,,2026-08-20T00:00:00.000Z
502460,1004954,OMODA5 HEV Premium (T71506J##MH0002),T71506JCLMH0002,Carbon crystal black,Carbon crystal black,1004954 - OMODA5 HEV Premium Carbon crystal black | Black 2025,,,2026-08-18T00:00:00.000Z
502461,1002348,OMODA5 HEV Premium (T71506J##MH0002),T71506JBWMH0002,Khaki white | Black,Khaki white | Black,1002348 - OMODA5 HEV Premium Khaki white | Black 2025,,,2026-08-08T00:00:00.000Z
502481,1004970,OMODA5 HEV Premium (T71506J##MH0002),T71506JX4MH0002,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004970 - OMODA5 HEV Premium Carbon crystal black & Aviation silver | Black 2025,,,2026-08-18T00:00:00.000Z
502504,1002639,JAECOO7 ICE 4WD Premium (T5260CXXXMQ0001),T5260CXCLMQ0001,Carbon crystal black | Black,Carbon crystal black | Black,1002639 - JAECOO7 ICE 4WD Premium Carbon crystal black | black 2025,,,2026-08-15T00:00:00.000Z
502526,1002944,OMODA5 HEV Comfort,T71506JBWMH0011,Khaki white | Black,Khaki white | Black,1002944 - OMODA5 HEV Comfort Khaki white | Black,,,2026-08-19T00:00:00.000Z
502528,1002929,OMODA5 HEV Comfort,T71506JCLMH0011,Carbon crystal black | Black,Carbon crystal black | Black,1002929 - OMODA5 HEV Comfort Carbon Crystal Black | Black,,,2026-08-19T00:00:00.000Z
502534,1004592,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray,Phantom gray,1004592 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-11T00:00:00.000Z
502541,1003163,JAECOO7 PHEV Premium,T71604NKUMH0026,Moonlight silver | Black,Moonlight silver | Black,1003163 - JAECOO7 PHEV Premium Moonlight silver | Black,,,2026-08-09T00:00:00.000Z
502555,1002972,OMODA5 HEV Comfort,T71506JBWMH0011,Khaki white | Black,Khaki white | Black,1002972 - OMODA5 HEV Comfort Khaki white | Black,,,2026-08-20T00:00:00.000Z
502582,1003685,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NKUMH0016,Moonlight silver,Moonlight silver,1003685 - JAECOO7 PHEV Premium Moonlight silver | Black 2025,,,2026-07-01T00:00:00.000Z
502587,1004969,OMODA5 HEV Premium (T71506J##MH0002),T71506JX4MH0002,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004969 - OMODA5 HEV Premium Carbon crystal black & Aviation silver | Black 2025,,,2026-07-31T00:00:00.000Z
502598,1003747,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NKUMH0016,Moonlight silver,Moonlight silver,1003747 - JAECOO7 PHEV Premium Moonlight silver | Black 2025,,,2026-07-01T00:00:00.000Z
502607,1004478,JAECOO7 PHEV Premium,T71604NCLMH0031,Carbon crystal black,Carbon crystal black,1004478 - JAECOO7 PHEV Premium Carbon Crystal Black | Black 2025,,,2026-10-21T00:00:00.000Z
502609,1002099,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NZKMH0016,Carbon crystal black & Olive gray | Black,Carbon crystal black & Olive gray | Black,1002099 - JAECOO7 PHEV Premium Carbon crystal black & Olive gray | Black 2025,,,2026-06-09T00:00:00.000Z
502618,1003119,JAECOO7 PHEV Premium,T71604NCLMH0026,Carbon crystal black | Black,Carbon crystal black | Black,1003119 - JAECOO7 PHEV Premium Carbon Crystal Black | Black,,,2026-08-15T00:00:00.000Z
502637,1003512,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003512 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-29T00:00:00.000Z
502643,1003525,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003525 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-10-07T00:00:00.000Z
502653,1003650,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003650 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-30T00:00:00.000Z
502662,1003498,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003498 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-28T00:00:00.000Z
502671,1003616,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003616 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-08T00:00:00.000Z
502683,1003556,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003556 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-11-03T00:00:00.000Z
502687,1003599,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003599 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-20T00:00:00.000Z
502694,1003463,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003463 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-28T00:00:00.000Z
502696,1003610,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003610 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-13T00:00:00.000Z
502704,1003538,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003538 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-10-20T00:00:00.000Z
502712,1003460,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003460 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-20T00:00:00.000Z
502715,1003602,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003602 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-08T00:00:00.000Z
502716,1004093,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004093 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-21T00:00:00.000Z
502718,1003455,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003455 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-10-08T00:00:00.000Z
502720,1003365,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003365 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-09-29T00:00:00.000Z
502721,1003442,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003442 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-30T00:00:00.000Z
502735,1000780,JAECOO7 PHEV Comfort (T71604NXXMH0017),T71604NBWMH0017,Khaki white | Black,Khaki white | Black,1000780 - JAECOO7 PHEV Comfort Khaki white | Black 2025,,,2026-07-16T00:00:00.000Z
502737,1004945,OMODA5 HEV Premium (T71506J##MH0002),T71506JX4MH0002,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004945 - OMODA5 HEV Premium Carbon crystal black & Aviation silver | Black 2025,,,2026-08-17T00:00:00.000Z
502744,1004575,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray,Phantom gray,1004575 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-27T00:00:00.000Z
502761,1003443,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003443 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-29T00:00:00.000Z
502772,1003593,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003593 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-09T00:00:00.000Z
502779,1003100,JAECOO7 PHEV Premium,T71604NBWMH0026,Khaki white | Black,Khaki white | Black,1003100 - JAECOO7 PHEV Premium Khaki White | Black,,,2026-08-09T00:00:00.000Z
502791,1003583,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003583 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-09-29T00:00:00.000Z
502804,1003591,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003591 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-29T00:00:00.000Z
502805,1003617,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003617 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-28T00:00:00.000Z
502806,1003630,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003630 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-28T00:00:00.000Z
502812,1003387,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003387 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-08T00:00:00.000Z
502814,1003416,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003416 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-09-28T00:00:00.000Z
502818,1003438,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003438 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-10-13T00:00:00.000Z
502819,1003446,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003446 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-14T00:00:00.000Z
502826,1003613,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003613 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-29T00:00:00.000Z
502832,1003531,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003531 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-10-14T00:00:00.000Z
502834,1003047,OMODA5 HEV Premium,T71506JKXMH0009,Aviation silver | Black,Aviation silver | Black,1003047 - OMODA5 HEV Premium Aviation Silver | Black,,,2026-08-09T00:00:00.000Z
502843,1004639,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1004639 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-10-22T00:00:00.000Z
502847,1003481,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003481 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-28T00:00:00.000Z
502850,1003345,OMODA9 PHEV Premium,T6480J1CMLX0008,Carbon crystal black | Black,Carbon crystal black | Black,1003345 - OMODA9 PHEV Premium Carbon Crystal Black | Black 2025,,,2026-07-26T00:00:00.000Z
502853,1004802,OMODA9 PHEV Premium,T6480J1CMLX0018,Carbon crystal black | Black,Carbon crystal black | Black,1004802 - OMODA9 PHEV Premium Carbon crystal black | Black 2025,,,2026-10-22T00:00:00.000Z
502857,1004914,OMODA5 HEV Premium (T71506J##MH0002),T71506JCLMH0002,Carbon crystal black,Carbon crystal black,1004914 - OMODA5 HEV Premium Carbon crystal black | Black 2025,,,2026-08-07T00:00:00.000Z
502861,1004946,OMODA5 HEV Premium (T71506J##MH0002),T71506JX4MH0002,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004946 - OMODA5 HEV Premium Carbon crystal black & Aviation silver | Black 2025,,,2026-08-18T00:00:00.000Z
502880,1002326,OMODA5 HEV Premium (T71506J##MH0002),T71506JCLMH0002,Carbon crystal black | Black,Carbon crystal black | Black,1002326 - OMODA5 HEV Premium Carbon crystal black | Black 2025,,,2026-08-08T00:00:00.000Z
502905,1004673,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004673 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-17T00:00:00.000Z
502912,1003796,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NKUMH0016,Moonlight silver,Moonlight silver,1003796 - JAECOO7 PHEV Premium Moonlight silver | Black 2025,,,2026-07-01T00:00:00.000Z
502917,1004911,OMODA5 HEV Premium (T71506J##MH0002),T71506JX4MH0002,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004911 - OMODA5 HEV Premium Carbon crystal black & Aviation silver | Black 2025,,,2026-08-10T00:00:00.000Z
502920,1003553,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003553 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-10-04T00:00:00.000Z
502930,1005084,OMODA9 PHEV Premium,T6480J1CMLX0008,Carbon crystal black,Carbon crystal black,1005084 - OMODA9 PHEV Premium Carbon Crystal Black | Black 2025,,,2026-08-16T00:00:00.000Z
502946,1003175,JAECOO7 PHEV Premium,T71604NKUMH0026,Moonlight silver | Black,Moonlight silver | Black,1003175 - JAECOO7 PHEV Premium Moonlight silver | Black,,,2026-08-11T00:00:00.000Z
