OrderId,vehicleCode,modelId.name,SalesModel,vehicleColor.code,vehicleColor.name,description,,modelId.wrntyLimitationKm,etaDealer
502377,1004316,OMODA9 PHEV Premium,T6480J1BXLX0018,Khaki white,Khaki white,1004316 - OMODA9 PHEV Premium Khaki White | Black 2025,,,2026-09-20T00:00:00.000Z
502387,1003408,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003408 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-07T00:00:00.000Z
502394,1003390,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003390 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-08T00:00:00.000Z
502406,1003642,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003642 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-13T00:00:00.000Z
502411,1003141,JAECOO7 PHEV Premium,T71604NCLMH0026,Carbon crystal black | Black,Carbon crystal black | Black,1003141 - JAECOO7 PHEV Premium Carbon Crystal Black | Black,,,2026-08-15T00:00:00.000Z
502412,1003615,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003615 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-07T00:00:00.000Z
502413,1000778,JAECOO7 PHEV Comfort (T71604NXXMH0017),T71604NBWMH0017,Khaki white | Black,Khaki white | Black,1000778 - JAECOO7 PHEV Comfort Khaki white | Black 2025,,,2026-07-16T00:00:00.000Z
502414,1003601,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003601 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-07T00:00:00.000Z
502415,1000786,JAECOO7 PHEV Comfort (T71604NXXMH0017),T71604NBWMH0017,Khaki white | Black,Khaki white | Black,1000786 - JAECOO7 PHEV Comfort Khaki white | Black 2025,,,2026-03-08T00:00:00.000Z
502420,1003561,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003561 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-10-13T00:00:00.000Z
502421,1003566,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003566 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-10-08T00:00:00.000Z
502426,1003380,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003380 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-13T00:00:00.000Z
502428,1002354,OMODA5 HEV Premium (T71506J##MH0002),T71506JBWMH0002,Khaki white | Black,Khaki white | Black,1002354 - OMODA5 HEV Premium Khaki white | Black 2025,,,2026-08-15T00:00:00.000Z
502433,1003523,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003523 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-09-29T00:00:00.000Z
502438,1004024,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1004024 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-10-03T00:00:00.000Z
502441,,JAECOO7 PHEV Premium,T71604NZKMH0026,Carbon crystal black & Olive gray | Black,Carbon crystal black & Olive gray | Black,,,,2026-08-15T00:00:00.000Z
502443,1004461,JAECOO7 PHEV Premium,T71604NCLMH0031,Carbon crystal black,Carbon crystal black,1004461 - JAECOO7 PHEV Premium Carbon Crystal Black | Black 2025,,,2026-10-16T00:00:00.000Z
502447,1001711,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NZKMH0016,Carbon crystal black & Olive gray | Black,Carbon crystal black & Olive gray | Black,1001711 - JAECOO7 PHEV Premium Carbon crystal black & Olive gray | Black 2025,,,2026-08-15T00:00:00.000Z
502451,,OMODA5 HEV Comfort,T71506JGVMH0011,Phantom gray | Black,Phantom gray | Black,,,,2026-08-19T00:00:00.000Z
502453,1002547,JAECOO7 ICE 4WD Premium (T5260CXXXMQ0001),T5260CXCLMQ0001,Carbon crystal black | Black,Carbon crystal black | Black,1002547 - JAECOO7 ICE 4WD Premium Carbon crystal black | black 2025,,,2026-07-29T00:00:00.000Z
502457,1001752,JAECOO7 PHEV Premium,T71604NZNMH0016,Carbon crystal black & Moonlight silver | Black,Carbon crystal black & Moonlight silver | Black,1001752 - JAECOO7 PHEV Premium Carbon crystal black & Moonlight silver | Black 2025,,,2026-07-01T00:00:00.000Z
502458,1001990,JAECOO7 PHEV Premium,T71604NZNMH0016,Carbon crystal black & Moonlight silver | Black,Carbon crystal black & Moonlight silver | Black,1001990 - JAECOO7 PHEV Premium Carbon crystal black & Moonlight silver | Black 2025,,,2026-08-15T00:00:00.000Z
502461,1002348,OMODA5 HEV Premium (T71506J##MH0002),T71506JBWMH0002,Khaki white | Black,Khaki white | Black,1002348 - OMODA5 HEV Premium Khaki white | Black 2025,,,2026-08-08T00:00:00.000Z
502463,1002310,OMODA5 HEV Premium (T71506J##MH0002),T71506JGVMH0002,Phantom gray | Black,Phantom gray | Black,1002310 - OMODA5 HEV Premium Phantom gray | Black 2025,,,2026-08-07T00:00:00.000Z
502470,,OMODA5 HEV Premium (T71506J##MH0002),T71506JGVMH0002,Phantom gray | Black,Phantom gray | Black,,,,2026-08-07T00:00:00.000Z
502478,1003722,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NZKMH0016,Carbon crystal black & Olive gray,Carbon crystal black & Olive gray,1003722 - JAECOO7 PHEV Premium Carbon crystal black & Olive gray | Black 2025,,,2026-07-01T00:00:00.000Z
502501,1001717,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NZKMH0016,Carbon crystal black & Olive gray | Black,Carbon crystal black & Olive gray | Black,1001717 - JAECOO7 PHEV Premium Carbon crystal black & Olive gray | Black 2025,,,2026-08-15T00:00:00.000Z
502514,1002983,OMODA5 HEV Comfort,T71506JBWMH0011,Khaki white | Black,Khaki white | Black,1002983 - OMODA5 HEV Comfort Khaki white | Black,,,2026-08-09T00:00:00.000Z
502523,1003075,OMODA5 HEV Premium,T71506JBWMH0009,Khaki white | Black,Khaki white | Black,1003075 - OMODA5 HEV Premium Khaki White | Black,,,2026-08-09T00:00:00.000Z
502525,1003088,JAECOO7 PHEV Premium,T71604NBWMH0026,Khaki white | Black,Khaki white | Black,1003088 - JAECOO7 PHEV Premium Khaki White | Black,,,2026-08-09T00:00:00.000Z
502530,1003936,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black,Carbon crystal black,1003936 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-21T00:00:00.000Z
502537,1003143,JAECOO7 PHEV Premium,T71604NCLMH0026,Carbon crystal black | Black,Carbon crystal black | Black,1003143 - JAECOO7 PHEV Premium Carbon Crystal Black | Black,,,2026-08-09T00:00:00.000Z
502551,1002801,OMODA9 PHEV Premium,T6480J1UELX0008,Matte Gray,Matte Gray,1002801 - OMODA9 PHEV Premium Matte Gray | Black 2025,,,2026-08-04T00:00:00.000Z
502554,1002771,OMODA9 PHEV Premium,T6480J1UELX0008,Matte Gray,Matte Gray,1002771 - OMODA9 PHEV Premium Matte Gray | Black 2025,,,2026-08-23T00:00:00.000Z
502558,,OMODA9 PHEV Premium,T6480J1CMLX0008,Carbon crystal black | Black,Carbon crystal black | Black,,,,2026-08-08T00:00:00.000Z
502568,1003400,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003400 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-13T00:00:00.000Z
502578,1004983,OMODA5 HEV Premium (T71506J##MH0002),T71506JCLMH0002,Carbon crystal black,Carbon crystal black,1004983 - OMODA5 HEV Premium Carbon crystal black | Black 2025,,,2026-08-19T00:00:00.000Z
502583,1002330,OMODA5 HEV Premium (T71506J##MH0002),T71506JCLMH0002,Carbon crystal black | Black,Carbon crystal black | Black,1002330 - OMODA5 HEV Premium Carbon crystal black | Black 2025,,,2026-08-16T00:00:00.000Z
502594,1004988,OMODA5 HEV Premium (T71506J##MH0002),T71506JNLMH0002,Blood red,Blood red,1004988 - OMODA5 HEV Premium Blood red | Black 2025,,,2026-08-10T00:00:00.000Z
502602,,JAECOO7 PHEV Comfort (T71604NXXMH0017),T71604NUDMH0017,Olive gray | Black,Olive gray | Black,,,,2026-07-16T00:00:00.000Z
502603,1005135,OMODA9 PHEV Premium,T6480J1BXLX0008,Khaki white,Khaki white,1005135 - OMODA9 PHEV Premium Khaki White | Black 2025,,,2026-08-16T00:00:00.000Z
502605,1005140,OMODA9 PHEV Premium,T6480J1CMLX0008,Carbon crystal black,Carbon crystal black,1005140 - OMODA9 PHEV Premium Carbon Crystal Black | Black 2025,,,2026-08-16T00:00:00.000Z
502614,1001958,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NBWMH0016,Khaki white | Black,Khaki white | Black,1001958 - JAECOO7 PHEV Premium Khaki white | Black 2025,,,2026-06-10T00:00:00.000Z
502615,1002118,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NZKMH0016,Carbon crystal black & Olive gray | Black,Carbon crystal black & Olive gray | Black,1002118 - JAECOO7 PHEV Premium Carbon crystal black & Olive gray | Black 2025,,,2026-06-09T00:00:00.000Z
502628,,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,,,,2026-09-29T00:00:00.000Z
502637,1003512,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003512 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-29T00:00:00.000Z
502638,1003426,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003426 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-09-30T00:00:00.000Z
502639,1003800,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NZKMH0016,Carbon crystal black & Olive gray,Carbon crystal black & Olive gray,1003800 - JAECOO7 PHEV Premium Carbon crystal black & Olive gray | Black 2025,,,2026-07-01T00:00:00.000Z
502649,1003640,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003640 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-03T00:00:00.000Z
502654,1003425,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003425 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-09-20T00:00:00.000Z
502658,1002651,JAECOO7 ICE 4WD Premium,T5260CXZMMQ0001,Carbon crystal black & Model green | Black,Carbon crystal black & Model green | Black,1002651 - JAECOO7 ICE 4WD Premium Carbon crystal black & Model green | Black 2025,,,2026-07-29T00:00:00.000Z
502659,1004924,OMODA5 HEV Premium (T71506J##MH0002),T71506JX4MH0002,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004924 - OMODA5 HEV Premium Carbon crystal black & Aviation silver | Black 2025,,,2026-07-31T00:00:00.000Z
502681,1003065,OMODA5 HEV Premium,T71506JBWMH0009,Khaki white | Black,Khaki white | Black,1003065 - OMODA5 HEV Premium Khaki White | Black,,,2026-08-03T00:00:00.000Z
502683,1003556,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003556 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-11-03T00:00:00.000Z
502684,1003483,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003483 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-28T00:00:00.000Z
502694,1003463,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003463 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-28T00:00:00.000Z
502696,1003610,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003610 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-13T00:00:00.000Z
502706,1003466,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003466 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-28T00:00:00.000Z
502709,1003367,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003367 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-07T00:00:00.000Z
502711,1004794,OMODA9 PHEV Premium,T6480J1BXLX0018,Khaki white,Khaki white,1004794 - OMODA9 PHEV Premium Khaki White | Black 2025,,,2026-10-22T00:00:00.000Z
502713,1003600,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003600 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-06T00:00:00.000Z
502716,1004093,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004093 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-21T00:00:00.000Z
502721,,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,,,,2026-09-30T00:00:00.000Z
502727,1002571,JAECOO7 ICE 4WD Premium (T5260CXXXMQ0001),T5260CXCLMQ0001,Carbon crystal black | Black,Carbon crystal black | Black,1002571 - JAECOO7 ICE 4WD Premium Carbon crystal black | black 2025,,,2026-07-29T00:00:00.000Z
502728,1003570,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003570 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-20T00:00:00.000Z
502730,1002913,OMODA5 HEV Comfort,T71506JCLMH0011,Carbon crystal black | Black,Carbon crystal black | Black,1002913 - OMODA5 HEV Comfort Carbon Crystal Black | Black,,,2026-08-20T00:00:00.000Z
502733,1003089,JAECOO7 PHEV Premium,T71604NBWMH0026,Khaki white | Black,Khaki white | Black,1003089 - JAECOO7 PHEV Premium Khaki White | Black,,,2026-08-09T00:00:00.000Z
502737,1004945,OMODA5 HEV Premium (T71506J##MH0002),T71506JX4MH0002,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1004945 - OMODA5 HEV Premium Carbon crystal black & Aviation silver | Black 2025,,,2026-08-17T00:00:00.000Z
502740,,JAECOO7 PHEV Comfort (T71604NXXMH0017),T71604NCLMH0017,Carbon crystal black | Black,Carbon crystal black | Black,,,,2026-07-20T00:00:00.000Z
502748,1003370,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003370 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-09-28T00:00:00.000Z
502756,1003407,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003407 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-09T00:00:00.000Z
502761,1003443,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003443 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-29T00:00:00.000Z
502765,1003469,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003469 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-29T00:00:00.000Z
502772,1003593,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003593 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-09-09T00:00:00.000Z
502775,,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,,,,2026-10-04T00:00:00.000Z
502784,1003501,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003501 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-09-19T00:00:00.000Z
502797,1003582,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003582 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-13T00:00:00.000Z
502798,1003587,OMODA5 HEV Premium,T71506JX4MH0009,Carbon crystal black & Aviation silver,Carbon crystal black & Aviation silver,1003587 - OMODA5 HEV Premium Carbon crystal black & Aviation Silver | Black,,,2026-10-13T00:00:00.000Z
502808,1004573,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray,Phantom gray,1004573 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-11-01T00:00:00.000Z
502815,1003423,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,1003423 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-03T00:00:00.000Z
502821,1003454,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,1003454 - OMODA5 HEV Premium Carbon Crystal Black | Black,,,2026-10-07T00:00:00.000Z
502823,1004571,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray,Phantom gray,1004571 - OMODA5 HEV Premium Phantom Gray | Black,,,2026-10-17T00:00:00.000Z
502832,1003531,OMODA5 HEV Premium,T71506JZEMH0009,Carbon crystal black & Khaki white,Carbon crystal black & Khaki white,1003531 - OMODA5 HEV Premium Carbon crystal black & Khaki white | Black,,,2026-10-14T00:00:00.000Z
