_id,vehicleCode,vin,modelId.code,modelId.name,SalesModel,inventoryStatus,inv status label,vehicleColor.code,vehicleColor.name,status.code,status.name,description,,availableBy,modelId.wrntyLimitationKm
69f89ca385fdf213c2da672f,1003458,LVUGTBHD0TD244764,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,7,Sea Transit,Phantom gray | Black,Phantom gray | Black,7,Dealer Order Confirmation,1003458 - OMODA5 HEV Premium Phantom Gray | Black,,2026-10-28T00:00:00.000Z,
69f89c1a85fdf213c2da6348,1003410,LVUGTBHD5TD248440,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,7,Sea Transit,Phantom gray | Black,Phantom gray | Black,7,Dealer Order Confirmation,1003410 - OMODA5 HEV Premium Phantom Gray | Black,,2026-09-22T00:00:00.000Z,
69f89c1a85fdf213c2da6300,1003404,LVUGTBHD6TD248429,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,7,Sea Transit,Phantom gray | Black,Phantom gray | Black,7,Dealer Order Confirmation,1003404 - OMODA5 HEV Premium Phantom Gray | Black,,2026-10-20T00:00:00.000Z,
69f89cf985fdf213c2da688c,1003461,LVUGTBHD7TD248651,T71506JXXMH0009,OMODA5 HEV Premium,T71506JCLMH0009,7,Sea Transit,Carbon crystal black | Black,Carbon crystal black | Black,7,Dealer Order Confirmation,1003461 - OMODA5 HEV Premium Carbon Crystal Black | Black,,2026-09-22T00:00:00.000Z,
6a81b626d8e2ec9f216f39f0,1005225,82000038-T71506JGVMH0009-14,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,13,Future Vehicle,Phantom gray,Phantom gray,2,Available For Sale ,1005225 - OMODA5 HEV Premium Phantom Gray | Black,,2026-09-11T12:00:00.000Z,
6a53b7fba32c64f37c5aae22,1004576,82000028-T71506JGVMH0009-18,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,13,Future Vehicle,Phantom gray,Phantom gray,2,Available For Sale ,1004576 - OMODA5 HEV Premium Phantom Gray | Black,,2026-10-10T12:00:00.000Z,
69f89d3b85fdf213c2da6af3,1003495,LVUGTBHD3TD248579,T71506JXXMH0009,OMODA5 HEV Premium,T71506JCLMH0009,7,Sea Transit,Carbon crystal black | Black,Carbon crystal black | Black,7,Dealer Order Confirmation,1003495 - OMODA5 HEV Premium Carbon Crystal Black | Black,,2026-10-14T00:00:00.000Z,
69f89ca385fdf213c2da6717,1003452,LVUGTBHDXTD248627,T71506JXXMH0009,OMODA5 HEV Premium,T71506JCLMH0009,7,Sea Transit,Carbon crystal black | Black,Carbon crystal black | Black,2,Available For Sale ,1003452 - OMODA5 HEV Premium Carbon Crystal Black | Black,,2026-09-22T00:00:00.000Z,
6a2aa50f1431ad7a8e51715e,1003928,LVUGTBHD8TD267774,T71506JXXMH0009,OMODA5 HEV Premium,T71506JCLMH0009,7,Sea Transit,Carbon crystal black,Carbon crystal black,2,Available For Sale ,1003928 - OMODA5 HEV Premium Carbon Crystal Black | Black,,2026-09-14T12:00:00.000Z,
6a2aa4e91431ad7a8e516fc5,1003906,LVUGTBHD3TD267729,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,7,Sea Transit,Phantom gray,Phantom gray,2,Available For Sale ,1003906 - OMODA5 HEV Premium Phantom Gray | Black,,2026-09-14T12:00:00.000Z,
6a2aa5101431ad7a8e517170,1003938,LVUGTBHDXTD267792,T71506JXXMH0009,OMODA5 HEV Premium,T71506JCLMH0009,7,Sea Transit,Carbon crystal black,Carbon crystal black,2,Available For Sale ,1003938 - OMODA5 HEV Premium Carbon Crystal Black | Black,,2026-09-14T12:00:00.000Z,
6a2aa50f1431ad7a8e517134,1003934,LVUGTBHD0TD267719,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,7,Sea Transit,Phantom gray,Phantom gray,7,Dealer Order Confirmation,1003934 - OMODA5 HEV Premium Phantom Gray | Black,,2026-10-03T12:00:00.000Z,
