_id,vehicleCode,vin,modelId.code,modelId.name,SalesModel,inventoryStatus,inv status label,vehicleColor.code,vehicleColor.name,status.code,status.name,description,,availableBy,modelId.wrntyLimitationKm
6a3aaae9cb996d4617c6bc36,1004326,LNNBDDEH3TG042263,T6480J1XXLX0018,OMODA9 PHEV Premium,T6480J1BXLX0018,7,Sea Transit,Khaki white,Khaki white,7,Dealer Order Confirmation,1004326 - OMODA9 PHEV Premium Khaki White | Black 2025,,2026-09-14T12:00:00.000Z,
69f89cfa85fdf213c2da68dd,1003470,LVUGTBHD6TD248642,T71506JXXMH0009,OMODA5 HEV Premium,T71506JCLMH0009,7,Sea Transit,Carbon crystal black | Black,Carbon crystal black | Black,7,Dealer Order Confirmation,1003470 - OMODA5 HEV Premium Carbon Crystal Black | Black,,2026-09-22T00:00:00.000Z,
6a3aaae9cb996d4617c6bc5a,1004316,LNNBDDEH2TG042271,T6480J1XXLX0018,OMODA9 PHEV Premium,T6480J1BXLX0018,7,Sea Transit,Khaki white,Khaki white,7,Dealer Order Confirmation,1004316 - OMODA9 PHEV Premium Khaki White | Black 2025,,2026-09-14T12:00:00.000Z,
69f89ca385fdf213c2da6711,1003436,LVUGTBHDXTD248644,T71506JXXMH0009,OMODA5 HEV Premium,T71506JCLMH0009,7,Sea Transit,Carbon crystal black | Black,Carbon crystal black | Black,7,Dealer Order Confirmation,1003436 - OMODA5 HEV Premium Carbon Crystal Black | Black,,2026-09-22T00:00:00.000Z,
69f8659585fdf213c2d9ccba,1003291,LNNBDDEH8TG036765,T6480J1XXLX0008,OMODA9 PHEV Premium,T6480J1CMLX0008,15,Dealer Vehicle,Carbon crystal black | Black,Carbon crystal black | Black,8,Dealer Delivered,1003291 - OMODA9 PHEV Premium Carbon Crystal Black | Black 2025,,2026-08-03T00:00:00.000Z,
6a3aabb8cb996d4617c6bf3d,1004362,LNNBDDEH2TG042285,T6480J1XXLX0018,OMODA9 PHEV Premium,T6480J1CMLX0018,7,Sea Transit,Carbon crystal black | Black,Carbon crystal black | Black,7,Dealer Order Confirmation,1004362 - OMODA9 PHEV Premium Carbon crystal black | Black 2025,,2026-09-14T12:00:00.000Z,
69f89c5b85fdf213c2da64f4,1003431,LVUGTBHD2TD244782,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,7,Sea Transit,Phantom gray | Black,Phantom gray | Black,7,Dealer Order Confirmation,1003431 - OMODA5 HEV Premium Phantom Gray | Black,,2026-09-22T00:00:00.000Z,
6a3aabb8cb996d4617c6bf55,1004369,LNNBDDEHXTG042308,T6480J1XXLX0018,OMODA9 PHEV Premium,T6480J1GXLX0018,7,Sea Transit,Tech Gray,Tech Gray,7,Dealer Order Confirmation,1004369 - OMODA9 PHEV Premium Tech Gray | Black 2025,,2026-09-14T12:00:00.000Z,
69f89c5b85fdf213c2da6518,1003419,LVUGTBHD1TD248449,T71506JXXMH0009,OMODA5 HEV Premium,T71506JGVMH0009,7,Sea Transit,Phantom gray | Black,Phantom gray | Black,7,Dealer Order Confirmation,1003419 - OMODA5 HEV Premium Phantom Gray | Black,,2026-09-22T00:00:00.000Z,
6a3aac05cb996d4617c6c0c3,1004387,LNNBDDEH4TG042319,T6480J1XXLX0018,OMODA9 PHEV Premium,T6480J1UELX0018,7,Sea Transit,Matte Gray,Matte Gray,7,Dealer Order Confirmation,1004387 - OMODA9 PHEV Premium Matte Gray | Black 2025,,2026-09-14T12:00:00.000Z,
69b0154ff5d81100136fbb92,1001713,LNNBBDEE5TC045863,T71604NXXMH0016,JAECOO7 PHEV Premium (T71604NXXMH0016),T71604NZKMH0016,1,Bonded,Carbon crystal black & Olive gray | Black,Carbon crystal black & Olive gray | Black,2,Available For Sale,1001713 - JAECOO7 PHEV Premium Carbon crystal black & Olive gray | Black 2025,,2026-05-18T00:00:00.000Z,
6a313cdfa00a55a2593da312,1004097,LNNBBDEEXTC168283,T71604NXXMH0026,JAECOO7 PHEV Premium,T71604NBWMH0026,7,Sea Transit,Khaki white,Khaki white,2,Available For Sale ,1004097 - JAECOO7 PHEV Premium Khaki White | Black,,2026-09-14T12:00:00.000Z,
